,beta0_t+1,beta1_t+1,beta2_t+1
1,4.682222445706525,-2.481941362710185,-1.0481240981566915
2,4.995166079467858,-2.8486873876507337,-1.7414241812673552
3,5.000778609791246,-2.826277372188181,-1.767370396211605
4,5.227396222835453,-3.106612022357223,-1.8845389870403724
5,5.305214348533844,-3.147299334901289,-2.0322572120921785
6,5.29300132531304,-3.051816981370126,-2.040491698984289
7,5.278959958411552,-3.0556613509421893,-1.998949243195267
8,5.260691432658924,-3.044406552001293,-2.090039468481668
9,5.164954530421021,-2.9718228951582093,-2.1560740957294224
10,5.115481093574306,-2.945589126867283,-1.946020261391604
11,5.023737573394383,-2.8067804726694114,-1.737237696256966
12,4.920095482842811,-2.651202462824115,-1.4047635974841244
13,5.100691137386462,-2.839115651909752,-1.908443080428203
14,5.1239167296667,-2.9209027082274304,-2.0102550451370225
15,5.114902148234638,-2.874764162989339,-2.075780265423701
16,5.112375922254947,-2.8272896073846883,-2.157606460395998
17,5.06786732782836,-2.7740554008712786,-2.0455062071212846
18,5.069708579008827,-2.7562464542142195,-2.085741554241518
19,5.047084288325213,-2.72705746695203,-1.993886101446058
20,4.999133725321407,-2.664861289517791,-1.8709239529464392
21,4.937686553308548,-2.5994585506155485,-1.6825272276642649
22,4.929174625716221,-2.6089113360274374,-1.55475530715729
23,4.928087818963841,-2.592912094286735,-1.5741537950192417
24,4.961859325770282,-2.611617832200888,-1.7102559241997888
25,5.041008479738939,-2.686191387139708,-2.273916586059813
26,5.066532681396784,-2.7174665774398346,-2.583385321215541
27,5.036913128898883,-2.692406592303262,-2.638299004366468
28,4.975366721046635,-2.6317188943238987,-2.826013535524616
29,4.852061662106631,-2.514393531828247,-2.670659614734822
30,4.813029098159937,-2.4720008131632207,-2.6128671387687668
31,4.7585229834984935,-2.4519724776412515,-2.462325340159901
32,4.6855265680669245,-2.409874933883253,-2.2885718619180744
33,4.630780882990582,-2.3308728728775265,-2.5064456325315687
34,4.494946888849646,-2.1544555406528025,-2.6145106792689643
35,4.470181589606775,-2.1082135579780976,-2.8316721437476597
36,4.474673946670957,-2.0773539685903404,-3.0467347070580955
37,4.232338139334456,-1.821619351487392,-2.5658717694137025
38,4.157214773544904,-1.736383961361465,-2.348290929031525
39,4.09350981643831,-1.7422389650252796,-2.0384692783177747
40,4.000906217253074,-1.8382830205805265,-1.453017697157313
41,3.95831347831353,-2.051325799460767,-1.3750235631039271
42,3.854873625281733,-2.262841978577996,-1.6848766839538052
43,3.8390722780644735,-2.2034493812566707,-1.6803894157837185
44,3.735118612630358,-2.145321216557293,-1.319971452734814
45,3.711017055068476,-2.1646845251514995,-1.1547583096506226
46,3.81517474810988,-2.175448498889373,-1.24861221848831
47,3.77080054362782,-2.143498365576978,-1.0785074317029983
48,3.867216739793382,-2.388134202020018,-1.529155692470335
